District,Frequency,Median,Maximum,Variation,Remoteness,HDI,Frequency (/1),Median (/1),Maximum (/1),Variation (/1),Remoteness (/1),HDI (/1),Total (/6),Robinson_Risk_Score
Achham,4.177777777777778,761.0,1910.0,0.4478256867437567,4.128557142857143,0.378,0.45199999999999996,0.2684782608695652,0.01281787648228117,0.8493362800527023,0.45264686998394865,0.9477611940298507,2.983040481418348,0.9751679562599682
Arghakhanchi,3.1777777777777776,534.5,1444.0,0.4192505630477086,5.297916666666667,0.482,0.6533333333333333,0.31551932367149754,0.01622226791875157,0.764351959625059,0.5840355805243446,0.5597014925373135,2.8931639576102994,0.9457869583876319
Baglung,5.311111111111111,750.9300000000001,2057.0,0.4378678926643122,5.8830857142857145,0.475,0.656,0.2648297101449275,0.013825484954417714,0.8197211374621898,0.649784911717496,0.5858208955223881,2.9899821398014192,0.9774372123631424
Baitadi,4.0,814.86,1916.0,0.4625864533439998,3.932116666666667,0.4779999999999999,0.41999999999999993,0.28799275362318844,0.012859003358694906,0.8710396240328476,0.43057490636704115,0.5746268656716418,2.5970931530534136,0.8490002190904483
Bajhang,4.833333333333334,578.0,1461.0,0.43177476276160487,5.997222222222223,0.416,0.42500000000000004,0.16727053140096618,0.008071149496195765,0.8015997634458615,0.6626092384519351,0.8059701492537314,2.87052083204869,0.9383848293804005
Bajura,4.066666666666666,366.25,988.0,0.40712194985943384,5.542592592592593,0.365,0.5133333333333332,0.1401972624798712,0.007250515989977228,0.7282806564699362,0.6115272575946733,0.996268656716418,2.996857682584209,0.9796848550101115
Banke,4.366666666666667,396.22,3763.0,0.22928056630866103,2.2114166666666666,0.364,0.6825,0.17220108695652175,0.03196757831242717,0.19936854096212017,0.2372378277153558,1.0,2.323275033946425,0.7594879723543426
Bara,6.233333333333333,312.29,2850.0,0.26512346313816904,1.9238593862734488,0.457,0.40125000000000005,0.06347146739130435,0.011935362259236412,0.30596770258307737,0.20492802092960097,0.6529850746268656,1.6405376277900847,0.5362983625683067
Bardiya,4.433333333333334,461.0,2567.0,0.27541916766706687,2.647321428571429,0.466,0.6975,0.20153985507246377,0.021720131606004524,0.3365878133486242,0.2862158908507223,0.6194029850746268,2.1629666759524415,0.7070825240172638
Bhaktapur,1.7222222222222223,431.5,3743.0,0.3136670335557176,1.125,0.573,0.475,0.3836050724637681,0.06386661183083145,0.45033951307632014,0.1151685393258427,0.22014925373134342,1.7081289904281058,0.5583942514357637
Bhojpur,3.0444444444444443,542.0,1234.0,0.5108303464755077,5.083862433862434,0.479,0.3088888888888889,0.2109500805152979,0.009124073693269664,0.946961348730291,0.5599845431306105,0.5708955223880597,2.6068044573464175,0.8521748836043956
Chitwan,3.488888888888889,630.0,5031.0,0.35413831371170545,3.1190476190476195,0.551,0.5971428571428571,0.31884057971014496,0.048989943499505494,0.5707037948718551,0.3392188336008561,0.302238805970149,2.177134814795368,0.7117141457084636
